basetime,city_id,NO2,O3,PM10,PM2.5
2023-01-08,AQ003,28.70,31.53,38.38,20.63
2023-01-08,AQ004,23.25,35.30,15.51,11.05
2023-01-08,AQ005,22.48,27.21,44.83,36.46
2023-01-08,AQ006,13.62,33.05,10.08,9.22
2023-01-08,AQ007,11.10,33.14,7.29,6.19
2023-01-08,AQ008,2.82,78.48,16.31,4.81
2023-01-08,AQ009,11.22,26.49,24.41,20.83
2023-01-08,AQ010,7.25,65.07,5.30,3.20
2023-01-08,AQ011,18.22,15.00,35.91,31.46
2023-01-08,AQ012,14.52,27.96,26.29,24.27
2023-01-08,AQ013,11.07,57.05,4.71,3.24
2023-01-08,AQ014,10.50,38.53,8.32,6.58
2023-01-08,AQ015,5.58,73.81,12.37,6.16
2023-01-08,AQ016,20.59,39.46,6.27,4.29
2023-01-08,AQ017,4.74,48.64,7.93,6.32
2023-01-08,AQ018,8.15,62.69,18.76,8.52
2023-01-08,AQ019,9.74,50.56,18.18,16.08
2023-01-08,AQ020,10.79,67.41,10.22,5.32
2023-01-08,AQ021,5.16,61.99,4.72,3.40
2023-01-08,AQ022,8.28,57.37,7.95,6.04
2023-01-08,AQ023,9.63,48.79,5.53,3.98
2023-01-08,AQ024,8.79,59.54,15.14,8.50
2023-01-08,AQ025,28.87,2.18,36.77,34.64
2023-01-08,AQ026,11.46,53.75,10.40,7.76
2023-01-08,AQ027,27.81,12.98,10.80,10.04
2023-01-08,AQ028,27.83,44.51,18.15,14.51
2023-01-08,AQ029,5.05,62.53,15.70,12.44
2023-01-08,AQ030,10.87,45.04,9.48,8.30
2023-01-08,AQ031,10.56,65.51,6.68,4.01
2023-01-08,AQ032,7.25,43.09,27.45,25.17
2023-01-08,AQ033,11.90,30.74,14.38,12.82
2023-01-08,AQ034,17.90,22.42,34.59,29.60
2023-01-08,AQ035,1.88,63.80,3.29,2.07
2023-01-08,AQ036,6.06,39.64,16.28,11.96
2023-01-08,AQ037,19.11,36.71,16.26,13.62
2023-01-08,AQ038,4.71,53.18,20.95,18.86
2023-01-08,AQ039,27.85,21.48,79.26,56.29
2023-01-08,AQ040,15.57,36.05,36.98,29.76
2023-01-08,AQ041,6.96,36.80,7.82,8.02
2023-01-08,AQ042,5.45,45.71,9.39,7.75
2023-01-08,AQ043,11.02,52.58,20.89,17.92
2023-01-08,AQ044,22.43,7.32,42.38,39.04
2023-01-08,AQ045,6.34,61.46,6.45,5.33
2023-01-08,AQ046,12.06,60.73,9.87,7.07
2023-01-08,AQ047,18.26,20.37,27.05,23.31
2023-01-08,AQ048,6.09,37.83,16.73,11.60
2023-01-08,AQ049,12.01,32.24,27.27,23.70
2023-01-08,AQ050,7.73,48.32,13.88,12.52
2023-01-09,AQ001,13.98,57.26,10.06,5.24
2023-01-09,AQ002,26.05,33.67,33.09,26.90
2023-01-09,AQ003,31.44,30.36,40.59,19.85
2023-01-09,AQ004,15.69,58.84,11.44,7.42
2023-01-09,AQ005,13.22,39.98,20.50,17.05
2023-01-09,AQ006,22.03,29.27,12.22,9.99
2023-01-09,AQ007,4.88,70.32,2.72,1.60
2023-01-09,AQ008,4.94,65.98,11.41,5.00
2023-01-09,AQ009,11.30,41.54,8.57,7.34
2023-01-09,AQ010,12.50,57.76,7.14,4.23
2023-01-09,AQ011,22.38,18.78,27.00,22.73
2023-01-09,AQ012,23.05,24.61,19.87,18.96
2023-01-09,AQ013,16.24,56.06,6.83,4.08
2023-01-09,AQ014,16.77,37.15,9.70,7.99
2023-01-09,AQ015,6.51,69.62,13.44,6.41
2023-01-09,AQ016,26.77,35.56,10.01,7.00
2023-01-09,AQ017,6.26,39.07,10.79,8.75
2023-01-09,AQ018,28.32,38.15,24.99,15.35
2023-01-09,AQ019,18.12,55.53,12.53,13.73
2023-01-09,AQ020,18.46,51.66,10.50,5.45
2023-01-09,AQ021,5.68,66.48,5.40,3.31
2023-01-09,AQ022,18.07,53.25,6.95,3.74
2023-01-09,AQ023,21.97,47.42,8.54,5.47
2023-01-09,AQ024,8.33,66.91,7.62,4.17
2023-01-09,AQ025,28.59,15.25,21.95,18.90
2023-01-09,AQ026,6.64,67.87,5.70,2.83
2023-01-09,AQ027,12.95,54.27,5.71,4.53
2023-01-09,AQ028,7.85,76.16,13.53,6.30
2023-01-09,AQ029,6.40,62.73,19.17,15.37
2023-01-09,AQ030,14.72,39.47,8.89,7.93
2023-01-09,AQ031,14.65,63.83,9.83,5.56
2023-01-09,AQ032,6.34,53.91,13.63,13.59
2023-01-09,AQ033,18.43,29.69,14.98,12.56
2023-01-09,AQ034,12.46,33.21,20.25,16.36
2023-01-09,AQ035,1.28,70.10,3.66,2.19
2023-01-09,AQ036,6.58,35.65,17.03,13.39
2023-01-09,AQ037,9.28,61.77,10.87,6.34
2023-01-09,AQ038,4.28,56.15,10.63,9.60
2023-01-09,AQ039,20.20,27.84,48.64,29.42
2023-01-09,AQ040,12.27,42.20,25.46,20.37
2023-01-09,AQ041,13.51,21.30,9.68,9.59
2023-01-09,AQ042,6.51,36.72,12.21,10.51
2023-01-09,AQ043,5.80,62.44,10.44,8.85
2023-01-09,AQ044,19.36,28.75,23.50,20.91
2023-01-09,AQ045,12.83,51.71,6.63,4.51
2023-01-09,AQ046,5.39,75.60,15.23,7.13
2023-01-09,AQ047,18.41,38.33,11.67,9.12
2023-01-09,AQ048,6.99,35.43,13.34,10.37
2023-01-09,AQ049,21.12,15.99,32.49,29.28
2023-01-09,AQ050,8.56,57.45,9.76,8.79
2023-01-10,AQ001,17.83,45.59,14.70,7.21
2023-01-10,AQ002,17.91,46.99,22.78,18.74
2023-01-10,AQ003,13.96,55.53,14.60,6.73
2023-01-10,AQ004,27.99,42.36,21.49,14.96
2023-01-10,AQ005,14.23,34.65,10.03,9.03
2023-01-10,AQ006,18.05,42.50,11.79,8.87
2023-01-10,AQ007,8.64,60.94,4.62,2.99
2023-01-10,AQ008,4.51,64.34,15.37,5.34
2023-01-10,AQ009,7.97,54.03,5.96,5.12
2023-01-10,AQ010,14.61,46.77,10.68,5.64
2023-01-10,AQ011,18.58,27.22,19.82,17.00
2023-01-10,AQ012,13.89,40.88,10.25,9.57
2023-01-10,AQ013,15.90,51.83,13.00,5.90
2023-01-10,AQ014,12.90,47.37,13.89,9.44
2023-01-10,AQ015,5.29,69.35,6.92,3.53
